,M_atk_dice,N_def_dice,Phr,Ph,Pe,atk_tl,atk_f,def_f,def_num_ev,EV_res,atk_ev,def_ev,pe,ph
150,2,2,[0.0791 0.3164 0.6045],,,False,True,True,0,0.4746,1.5,True,[0.3906 0.4688 0.1406],[0.5625 0.375  0.0625]
151,2,2,[0.     0.4834 0.5166],,,False,True,True,1,0.4834,1.5,True,[0.1406 0.8594 0.    ],[0.5625 0.375  0.0625]
152,2,2,[0. 0. 1.],,,False,True,True,2,0.0,1.5,True,[1. 0. 0.],[0.5625 0.375  0.0625]
153,2,2,[0.2197 0.4102 0.3701],,,False,True,False,0,0.8496,1.5,False,[0.1406 0.4688 0.3906],[0.5625 0.375  0.0625]
154,2,2,[0.     0.4834 0.5166],,,False,True,False,1,0.4834,1.5,False,[0.1406 0.8594 0.    ],[0.5625 0.375  0.0625]
155,2,2,[0. 0. 1.],,,False,True,False,2,0.0,1.5,False,[1. 0. 0.],[0.5625 0.375  0.0625]
156,2,2,[0.0791 0.3164 0.6045],,,True,False,True,0,0.4746,1.5,True,[0.3906 0.4688 0.1406],[0.5625 0.375  0.0625]
157,2,2,[0.     0.4834 0.5166],,,True,False,True,1,0.4834,1.5,True,[0.1406 0.8594 0.    ],[0.5625 0.375  0.0625]
158,2,2,[0. 0. 1.],,,True,False,True,2,0.0,1.5,True,[1. 0. 0.],[0.5625 0.375  0.0625]
159,2,2,[0.2197 0.4102 0.3701],,,True,False,False,0,0.8496,1.5,False,[0.1406 0.4688 0.3906],[0.5625 0.375  0.0625]
160,2,2,[0.     0.4834 0.5166],,,True,False,False,1,0.4834,1.5,False,[0.1406 0.8594 0.    ],[0.5625 0.375  0.0625]
161,2,2,[0. 0. 1.],,,True,False,False,2,0.0,1.5,False,[1. 0. 0.],[0.5625 0.375  0.0625]
162,2,2,[0.0352 0.1875 0.7773],,,False,False,True,0,0.2578,1.0,True,[0.3906 0.4688 0.1406],[0.25 0.5  0.25]
163,2,2,[0.     0.2148 0.7852],,,False,False,True,1,0.2148,1.0,True,[0.1406 0.8594 0.    ],[0.25 0.5  0.25]
164,2,2,[0. 0. 1.],,,False,False,True,2,0.0,1.0,True,[1. 0. 0.],[0.25 0.5  0.25]
165,2,2,[0.0977 0.3125 0.5898],,,False,False,False,0,0.5078,1.0,False,[0.1406 0.4688 0.3906],[0.25 0.5  0.25]
166,2,2,[0.     0.2148 0.7852],,,False,False,False,1,0.2148,1.0,False,[0.1406 0.8594 0.    ],[0.25 0.5  0.25]
167,2,2,[0. 0. 1.],,,False,False,False,2,0.0,1.0,False,[1. 0. 0.],[0.25 0.5  0.25]
168,2,3,[0.0463 0.2379 0.7157],,,True,True,True,0,0.3306,1.875,True,[0.2441 0.4395 0.2637 0.0527],[0.     0.8789 0.1172 0.0039]
169,2,3,[0.     0.6008 0.3992],,,True,True,True,1,0.6008,1.875,True,[0.0527 0.2637 0.6836 0.    ],[0.     0.8789 0.1172 0.0039]
170,2,3,[0. 0. 1.],,,True,True,True,2,0.0,1.875,True,[0.0527 0.9473 0.     0.    ],[0.     0.8789 0.1172 0.0039]
171,2,3,[0.2146 0.4148 0.3706],,,True,True,False,0,0.844,1.875,False,[0.0527 0.2637 0.4395 0.2441],[0.     0.8789 0.1172 0.0039]
172,2,3,[0.     0.6008 0.3992],,,True,True,False,1,0.6008,1.875,False,[0.0527 0.2637 0.6836 0.    ],[0.     0.8789 0.1172 0.0039]
173,2,3,[0. 0. 1.],,,True,True,False,2,0.0,1.875,False,[0.0527 0.9473 0.     0.    ],[0.     0.8789 0.1172 0.0039]
174,2,3,[0.0297 0.1681 0.8022],,,False,True,True,0,0.2274,1.5,True,[0.2441 0.4395 0.2637 0.0527],[0.     0.5625 0.375  0.0625]
175,2,3,[0.     0.3845 0.6155],,,False,True,True,1,0.3845,1.5,True,[0.0527 0.2637 0.6836 0.    ],[0.     0.5625 0.375  0.0625]
176,2,3,[0. 0. 1.],,,False,True,True,2,0.0,1.5,True,[0.0527 0.9473 0.     0.    ],[0.     0.5625 0.375  0.0625]
